Study_Hours,Attendance_Percentage,Previous_Marks,Assignments_Completed,Final_Score,Pass_Fail
4.37,59.26,55.7,2,38.74,0
9.56,77.1,54.82,8,80.49,1
7.59,93.65,94.38,4,78.67,1
6.39,86.61,54.97,7,62.6,1
2.4,90.33,56.32,6,58.65,1
2.4,82.94,85.56,7,56.74,1
1.52,84.61,66.98,6,48.7,0
8.8,92.46,86.6,2,67.42,1
6.41,62.48,43.92,1,41.05,0
7.37,74.47,69.25,6,60.82,1
1.19,61.06,42.02,2,37.9,0
9.73,99.38,43.76,2,60.03,1
8.49,97.2,94.39,1,72.75,1
2.91,51.97,48.35,3,35.33,0
2.64,85.28,71.95,7,50.13,1
2.65,96.26,64.67,0,46.63,0
3.74,59.03,60.84,0,29.84,0
5.72,78.4,93.99,4,65.84,1
4.89,95.77,41.31,10,56.92,1
3.62,51.7,79.83,4,61.28,1
6.51,84.87,97.8,10,87.14,1
2.26,64.87,73.61,0,41.22,0
3.63,96.22,96.21,5,73.5,1
4.3,98.55,43.14,0,39.16,0
5.1,97.21,65.13,4,62.46,1
8.07,73.71,55.61,8,68.59,1
2.8,93.1,83.85,4,60.09,1
5.63,92.23,98.88,5,78.54,1
6.33,65.96,55.39,7,63.3,1
1.42,91.45,79.25,10,67.05,1
6.47,51.85,51.89,0,33.83,0
2.53,79.81,73.92,1,41.68,0
1.59,61.5,67.84,8,52.0,1
9.54,56.03,98.32,2,69.02,1
9.69,53.85,76.51,5,62.3,1
8.28,84.81,60.97,4,76.0,1
3.74,66.99,46.85,10,64.39,1
1.88,86.24,49.07,1,41.68,0
7.16,53.27,53.52,6,56.96,1
4.96,65.76,55.06,3,47.01,0
2.1,76.97,91.04,0,43.19,0
5.46,89.54,73.67,3,60.04,1
1.31,65.94,71.4,5,49.17,0
9.18,81.29,46.89,6,59.08,1
3.33,94.3,91.61,6,68.34,1
6.96,80.79,83.37,6,69.8,1
3.81,61.65,44.06,2,29.52,0
5.68,51.22,82.47,5,54.88,1
5.92,93.5,72.61,7,67.22,1
2.66,51.06,44.9,3,45.78,0
9.73,93.74,67.5,7,80.09,1
7.98,76.45,69.08,1,51.28,1
9.46,96.95,49.95,9,78.44,1
9.05,89.94,96.74,8,77.91,1
6.38,99.9,91.0,8,84.65,1
9.3,67.54,80.14,7,72.44,1
1.8,88.36,67.74,9,60.02,1
2.76,70.1,64.71,9,64.97,1
1.41,73.99,79.06,0,35.6,0
3.93,81.38,72.73,1,42.93,0
4.5,93.68,43.74,5,50.18,1
3.44,99.2,70.75,9,72.86,1
8.46,88.41,88.38,4,65.75,1
4.21,70.89,67.55,8,46.81,0
3.53,71.07,43.12,4,41.71,0
5.88,86.88,87.18,1,63.0,1
2.27,61.94,52.08,9,57.68,1
8.22,55.52,55.52,3,51.99,1
1.67,67.73,49.88,8,46.63,0
9.88,64.36,59.81,0,61.29,1
7.95,64.82,85.41,10,69.11,1
2.79,61.68,71.16,0,38.71,0
1.05,52.1,52.29,6,41.69,0
8.34,50.89,92.67,10,81.07,1
7.36,99.39,92.77,2,67.56,1
7.56,71.39,92.23,9,79.02,1
7.94,69.22,54.33,1,39.55,0
1.67,83.98,67.07,8,53.79,1
4.23,60.91,99.1,2,58.75,1
2.04,97.5,86.32,1,47.59,0
8.77,89.32,41.63,7,66.57,1
6.61,54.47,43.91,9,60.83,1
3.98,70.88,67.84,5,52.76,1
1.57,93.96,94.55,5,61.94,1
3.8,97.24,72.32,9,63.83,1
3.93,73.37,69.87,10,64.42,1
7.57,80.67,46.33,6,64.0,1
6.74,58.35,79.41,6,65.12,1
8.98,99.56,89.33,10,86.24,1
5.25,61.58,62.83,5,55.41,1
2.08,97.14,86.54,3,60.15,1
7.42,82.48,97.87,10,74.16,1
7.85,80.39,52.23,8,73.16,1
6.05,75.63,71.4,5,59.99,1
7.94,61.53,57.23,3,57.45,1
5.44,58.83,87.57,2,61.63,1
5.7,61.02,74.66,3,48.0,0
4.85,59.32,78.07,2,47.86,0
1.23,88.98,87.87,1,47.79,0
1.97,67.51,63.76,4,41.64,0
1.28,52.89,94.91,1,52.93,1
6.73,98.46,71.98,5,63.82,1
3.83,94.19,49.48,2,44.48,0
5.58,96.39,81.75,5,68.77,1
9.17,99.75,87.6,10,83.14,1
3.24,58.69,59.01,9,53.57,1
4.69,69.81,91.43,8,70.71,1
7.8,87.91,94.37,0,63.73,1
3.06,84.8,56.61,5,51.13,1
1.69,57.69,99.01,8,58.83,1
3.61,90.79,48.44,10,54.14,1
2.45,61.22,52.12,3,41.62,0
9.37,61.19,51.05,10,79.75,1
8.27,76.85,93.64,1,66.24,1
6.7,79.65,79.26,3,63.58,1
8.84,79.0,49.13,0,56.11,1
8.23,54.57,66.42,2,49.08,0
2.68,93.87,76.92,9,75.06,1
9.03,63.28,45.01,8,65.75,1
5.85,56.48,92.94,9,79.97,1
8.27,94.44,88.22,4,70.35,1
9.06,97.78,70.31,10,92.4,1
3.86,93.11,98.03,5,71.56,1
1.99,90.48,65.07,2,49.36,0
3.05,82.76,99.05,4,63.07,1
4.84,77.54,80.08,10,70.4,1
8.36,54.35,78.08,7,75.2,1
8.75,70.42,49.96,5,61.64,1
1.06,68.63,92.92,3,40.42,0
5.6,62.99,65.65,1,42.7,0
4.76,86.17,49.73,8,59.12,1
3.0,74.79,40.76,0,36.23,0
2.08,54.05,73.59,0,37.8,0
4.04,61.01,71.64,3,55.89,1
9.49,84.16,83.16,6,67.74,1
3.91,53.81,93.42,0,49.28,0
5.67,92.56,44.76,8,53.02,1
7.33,74.76,83.89,3,68.23,1
4.27,74.03,51.24,2,44.39,0
9.75,79.62,91.49,0,69.83,1
9.66,91.23,89.14,9,82.83,1
3.27,67.39,72.45,3,55.77,1
5.48,83.9,82.61,8,76.46,1
3.71,78.29,58.86,9,63.5,1
3.56,63.35,68.27,5,51.41,1
1.33,93.93,89.3,5,61.81,1
6.49,89.87,67.56,0,50.92,1
5.52,82.92,61.47,9,71.11,1
1.46,92.53,69.65,1,53.31,1
3.51,93.36,89.69,10,79.7,1
9.17,85.42,60.11,5,64.41,1
3.16,91.85,50.43,1,45.2,0
2.3,84.87,82.72,2,45.09,0
5.41,84.01,89.56,3,66.04,1
9.87,80.93,46.04,10,76.93,1
3.18,87.64,54.39,4,40.44,0
7.05,57.93,48.52,8,53.96,1
7.85,94.04,60.88,3,61.29,1
3.14,93.59,67.02,10,65.17,1
7.55,51.46,84.93,8,64.61,1
4.31,91.29,79.07,10,74.7,1
6.69,56.44,77.26,9,70.45,1
6.7,66.76,61.14,2,51.48,1
5.82,87.18,90.49,7,69.36,1
1.81,58.04,68.28,0,41.87,0
8.52,90.9,98.75,10,97.37,1
3.89,91.61,78.05,8,65.04,1
2.68,75.37,47.58,8,48.98,0
1.37,50.32,80.57,9,58.11,1
6.32,64.35,59.51,1,46.73,0
7.1,80.85,81.18,3,63.57,1
1.15,99.06,44.18,7,53.64,1
5.61,81.59,50.49,6,47.94,0
3.04,62.99,91.34,0,54.19,1
6.81,81.7,53.63,4,57.81,1
2.57,77.0,90.22,6,58.83,1
7.22,88.99,56.76,3,58.43,1
4.48,55.35,78.57,0,45.66,0
9.43,88.05,81.65,8,73.03,1
2.24,77.06,70.76,4,57.71,1
4.07,98.15,58.32,10,67.51,1
2.02,67.09,52.76,1,38.51,0
9.32,81.63,41.99,7,70.99,1
8.9,96.6,58.24,10,73.93,1
3.32,55.13,79.19,1,47.45,0
6.94,96.86,96.3,2,68.27,1
8.35,84.39,92.27,9,87.68,1
6.0,53.39,85.96,0,40.82,0
5.77,65.05,87.31,10,73.12,1
3.18,85.41,79.9,1,47.98,0
1.84,53.37,55.62,6,46.11,0
9.07,79.11,94.43,9,87.19,1
9.1,67.29,80.24,1,58.75,1
6.7,81.05,73.63,5,61.48,1
4.05,52.29,46.66,2,38.03,0
4.14,93.58,66.82,3,50.64,1
7.53,98.67,67.62,10,83.07,1
9.07,98.44,91.87,7,82.09,1
8.98,87.48,72.8,2,51.26,1
8.02,56.5,62.82,9,66.32,1
6.78,87.91,98.61,5,68.92,1
1.76,51.23,46.64,0,20.48,0
2.45,51.11,65.35,6,41.78,0
9.09,66.18,42.52,7,63.26,1
6.46,74.43,84.39,10,82.99,1
1.08,88.52,95.08,7,64.5,1
1.91,84.16,56.8,2,39.62,0
6.97,72.3,91.5,9,79.62,1
1.05,63.68,57.53,0,30.31,0
2.45,99.86,94.65,8,67.01,1
5.94,71.31,85.24,5,58.91,1
7.23,72.57,88.29,10,70.31,1
6.87,58.18,41.08,8,55.18,1
3.02,89.74,97.77,6,67.62,1
7.41,84.68,83.6,0,60.06,1
3.14,61.04,58.29,0,35.45,0
3.93,54.12,89.76,5,52.85,1
7.72,84.02,56.89,4,64.21,1
6.85,82.73,92.37,8,70.79,1
8.64,63.66,46.75,1,54.25,1
6.92,97.54,82.22,7,70.46,1
6.11,57.55,72.44,10,64.77,1
1.84,71.62,45.79,4,33.33,0
4.31,97.18,54.51,1,46.06,0
3.39,70.99,40.74,9,57.76,1
3.2,81.93,68.13,10,67.39,1
9.76,69.88,58.08,10,80.68,1
4.54,63.71,75.9,5,59.47,1
9.03,99.2,57.83,9,72.24,1
6.68,70.47,58.0,7,60.54,1
8.15,94.7,84.59,3,66.8,1
5.52,61.5,42.89,1,47.63,0
6.19,60.66,94.17,10,69.88,1
5.43,51.56,91.14,4,63.7,1
2.76,82.58,80.07,1,53.89,1
7.5,68.43,75.59,1,66.27,1
3.53,93.22,93.54,5,63.47,1
1.22,73.66,51.12,10,56.68,1
6.81,98.41,44.74,9,79.53,1
2.59,59.28,54.37,8,47.56,0
9.46,93.43,87.67,3,66.97,1
9.59,88.83,42.08,5,54.95,1
9.23,88.55,74.97,6,78.85,1
4.33,92.24,99.73,10,69.78,1
1.14,88.05,91.34,5,56.0,1
9.35,81.31,71.29,7,77.22,1
4.85,56.56,43.82,3,43.52,0
9.7,51.63,89.88,0,63.67,1
9.67,96.04,75.94,6,79.28,1
8.68,80.83,46.9,2,62.32,1
3.65,89.83,45.63,5,46.02,0
4.47,74.08,94.58,1,52.97,1
8.66,55.87,80.15,8,69.01,1
3.85,56.26,89.76,0,51.96,1
2.53,84.28,92.74,5,65.49,1
6.01,71.52,74.31,5,63.88,1
9.43,60.03,71.05,4,70.8,1
7.26,74.58,65.83,4,54.93,1
6.13,53.21,59.02,0,52.01,1
1.87,79.1,66.08,9,65.95,1
6.54,63.45,86.43,4,66.64,1
9.91,89.88,76.12,1,76.5,1
2.26,65.52,93.55,6,50.54,1
5.66,72.76,66.6,2,50.07,1
8.9,50.58,76.43,3,57.61,1
7.67,53.62,77.88,2,60.86,1
7.27,69.62,75.5,2,53.51,1
